"match_method","final_name","final_unit","final_barcode","final_price","price_note","seed_category_id","seed_subcategory_id","asnaf_name","asnaf_price","asnaf_unit","asnaf_barcode","karaz_name","karaz_category","karaz_price","karaz_link","karaz_image"
"barcode","ستميرول علب ","وحدة","7622210991959","11.99","","26","68","ستميرول علب ","10","وحدة","7622210991959","Stimorol Bottle Wild Cherry 50g","عرض الجميع","11.99","https://karaz.ps/shop/product/stimorol-bottle-wild-cherry-50g/","https://karaz.ps/wp-content/uploads/2024/06/7622210991959-300x300.jpg"
"barcode","بسكوت جولون مع الشوفان 240 غم","وحدة","8410376056792","11.99","","26","68","بسكوت جولون مع الشوفان 240 غم","10","وحدة","8410376056792","Gullon Heart of Cereal Biscuit Oat&Chocolate Chips  240g","عرض الجميع","11.99","https://karaz.ps/shop/product/gullon-heart-of-cereal-biscuit-oatchocolate-chips-240g/","https://karaz.ps/wp-content/uploads/2024/06/8410376056792-1-300x300.jpg"
"barcode","مستر شبس","وحدة","6251036002429","2.5","","26","68","مستر شبس","2.5","وحدة","6251036002429","Mr. Chips Paprika Natural Potato Sticks 37g","عرض الجميع","2.5","https://karaz.ps/shop/product/mr-chips-paprika-natural-potato-sticks-37g/","https://karaz.ps/wp-content/uploads/2024/06/6251036002429-300x300.jpg"
"barcode","جولون ميني مكس","وحدة","8410376013191","11.99","","26","68","جولون ميني مكس","10","وحدة","8410376013191","Gullon Mini Mix 350g","عرض الجميع","11.99","https://karaz.ps/shop/product/gullon-mini-mix-350g/","https://karaz.ps/wp-content/uploads/2024/06/8410376013191-300x300.jpg"
"barcode","سناكس مكس كبير ","وحدة","6251036015825","5.99","","16","42","سناكس مكس كبير ","5","وحدة","6251036015825","Mr. Chips Snack Mix French Cheese 77g","عرض الجميع","5.99","https://karaz.ps/shop/product/mr-chips-snack-mix-french-cheese-77g/","https://karaz.ps/wp-content/uploads/2024/06/6251036015825-300x300.jpg"
"barcode","لواكر كوادرتني 250 غم","وحدة","8000380142484","14.99","","26","68","لواكر كوادرتني 250 غم","12","وحدة","8000380142484","Loacker Quadratini Dark Chocolate 250g","عرض الجميع","14.99","https://karaz.ps/shop/product/loacker-quadratini-dark-chocolate-250g/","https://karaz.ps/wp-content/uploads/2023/10/8000380142484-small.jpg"
"barcode","ستميرول مخدات","وحدة","54014008","3.99","","14","37","ستميرول مخدات","3","وحدة","54014008","Stimorol Original Gum 14g","السكاكر والعلكة","3.99","https://karaz.ps/shop/product/stimorol-original-gum-14g/","https://karaz.ps/wp-content/uploads/2023/05/54014008-300x300.jpg"
"barcode","بيبرمنتس شرائح","وحدة","5425010090028","9.99","","14","37","بيبرمنتس شرائح","10","وحدة","5425010090028","Peppermint Strips Fresh Breath x24","السكاكر والعلكة","9.99","https://karaz.ps/shop/product/peppermint-strips-fresh-breath-x24/","https://karaz.ps/wp-content/uploads/2023/01/5425010090028-300x300.jpg"
"barcode","علب حديد ملبس كنفاني","وحدة","4002590000633","6.99","","14","37","علب حديد ملبس كنفاني","7","وحدة","4002590000633","Kalfany Assorted Fruit Drops 150g","السكاكر والعلكة","6.99","https://karaz.ps/shop/product/kalfany-assorted-fruit-drops-150g/","https://karaz.ps/wp-content/uploads/2022/11/4002590000633-300x300.jpg"
"barcode","ويذرز كراميل بايتس","وحدة","4014400933659","17.99","","14","36","ويذرز كراميل بايتس","15","وحدة","4014400933659","Storck Werther’s Original Caramel Bites Cookie 140g","البسكويت والشوكولاتة","17.99","https://karaz.ps/shop/product/storck-werthers-original-caramel-bites-cookie-140g/","https://karaz.ps/wp-content/uploads/2023/07/4014400933659-300x300.jpg"
"barcode","ريسيس اصابع عادية 42","وحدة","03415201","3.99","","14","36","ريسيس اصابع عادية 42","3","وحدة","03415201","Reese’s Sticks 2 Sticks 42g","البسكويت والشوكولاتة","3.99","https://karaz.ps/shop/product/reeses-sticks-2-sticks-42g/","https://karaz.ps/wp-content/uploads/2023/06/03415201-300x300.jpg"
"barcode","خبز تورتيلا 30 سم","وحدة","8699847070035","14.99","","8","23","خبز تورتيلا 30 سم","13","وحدة","8699847070035","ALY TORTILLA 30CM 900G","المخبز  المخبوزات","14.99","https://karaz.ps/shop/product/aly-tortilla-30cm-900g/","https://karaz.ps/wp-content/uploads/2022/08/8699847070035-300x300.jpg"
